key,translation
"navigation.services","Tjenester"
"navigation.showcase","Showcase"
"navigation.process","Proces"
"navigation.schedule","Book tid"
"navigation.contact","Kontakt"
"hero.title","Et flot billede hjælper med at sælge."
"hero.subtitle","Løft dit møbelmærke med verdensklasse 3D-visualiseringer."
"hero.cta","Få et gratis projekttilbud"
"hero.viewShowcase","Se vores showcase"
"problem.challenges.title","Udfordringer med møbelvisualisering"
"problem.challenges.expensivePhotoshoots.title","Dyre fotosessions"
"problem.challenges.expensivePhotoshoots.description","Traditionel fotografering kræver fysiske prototyper, studietid og kompleks logistik."
"problem.challenges.endlessPrototypes.title","Endeløse prototyper"
"problem.challenges.endlessPrototypes.description","At skabe fysiske prøver for hver materiale- og farvevariation er dyrt og tidskrævende."
"problem.challenges.slowLaunches.title","Langsomme produktlanceringer"
"problem.challenges.slowLaunches.description","At vente på fotografering forsinker din time-to-market og konkurrencefordel."
"problem.challenges.inconsistentPresentation.title","Inkonsistent præsentation"
"problem.challenges.inconsistentPresentation.description","Forskellige fotografer og lysforhold skaber visuelle inkonsistenser på tværs af dit katalog."
"problem.solution.title","Debutiques løsning"
"problem.solution.renderingsForAnyFinish.title","Renderinger for enhver finish"
"problem.solution.renderingsForAnyFinish.description","Skab ubegrænsede materialevariationer digitalt — enten fra eksisterende digitale biblioteker eller ved professionel scanning af fysiske prøver, du leverer. Ideelt til avancerede produktkonfiguratorer."
"problem.solution.featureFocusedAnimations.title","Feature-fokuserede animationer"
"problem.solution.featureFocusedAnimations.description","Fremhæv mekanismer, transformationer og unikke salgsargumenter, der er umulige at vise i statiske billeder."
"problem.solution.360Visuals.title","360°-visualiseringer til e-handel"
"problem.solution.360Visuals.description","Øg konverteringsrater med interaktive produktvisninger, der opbygger købertillid."
"problem.solution.interiorStaging.title","Interiør staging"
"problem.solution.interiorStaging.description","Placer dine produkter i inspirerende miljøer, der inspirerer kunder og øger opfattet værdi."
"services.title","Vores tjenester"
"services.renderings.title","Renderinger"
"services.renderings.description","Realistiske produktbilleder fra enhver vinkel eller materiale."
"services.animations.title","Animationer"
"services.animations.description","Høj-impact marketingvideoer, der viser funktioner."
"services.360Animations.title","360°-animationer"
"services.360Animations.description","Interaktive rotationer til e-handelsplatforme."
"services.assemblyAnimations.title","Samle-animationer"
"services.assemblyAnimations.description","Trin-for-trin visuelle guider."
"services.interiorShots.title","Interiørbilleder"
"services.interiorShots.description","Fuldt iscenesatte miljøer til produktpræsentation."
"socialProof.productsVisualized","Visualiserede produkter"
"socialProof.rendersDelivered","Leverede renderinger"
"socialProof.catalogDistribution","Katalogdistribution"
"socialProof.trustedBy","Betroet af"
"showcase.title","Vores arbejde"
"showcase.filters.allWork","Alt arbejde"
"showcase.filters.productRenders","Produktrenderinger"
"showcase.filters.interiorScenes","Interiørscener"
"showcase.filters.videos","Videoer"
"showcase.categories.product","Produkt"
"showcase.categories.interior","Interiør"
"showcase.categories.video","Video"
"showcase.showingResults","Viser {{count}} af {{total}} projekter"
"process.title","Sådan fungerer det"
"process.step1.title","Send dine produktdetaljer"
"process.step1.description","Levér CAD-filer, skitser eller fotos af dine møbler. Vi arbejder med hvad end du har."
"process.step2.title","Vi skaber fantastiske visualiseringer"
"process.step2.description","Vores team udvikler fotorealistiske 3D-aktiver med iterativ feedback for at sikre perfektion."
"process.step3.title","Du lancerer og sælger mere"
"process.step3.description","Modtag web- og print-optimerede visualiseringer, der driver engagement og øger konverteringer."
"process.cta","Start dit projekt"
"faq.title","FAQ – Debutiques | CGI Studio & 3D Rendering"
